,titles,ratings,reviews,dates,replies,reply_dates
0,on peut se plaindre. mais personnels top,5,"on peut se plaindre.. mais chaque supermarché est indépendant .Pour ma part en fréquentant plusieurs magasins dans différentes régions, je recommande celui de Chambly (60).Magasin propre, personnels disponibles et aimables.Beaucoup de promotions, beau rayon marée avec personnes compétentes.",2023-03-04T21:31:18.000Z,,
1,Produits chien aimé  cœurs croquants à fuire !,1,"Bonjours, je viens d'acheter vos biscuits chien : marque aimé cœurs croquants réf C4878 500g, code barre 3 281018004878. Il n'y a pas une liste précise des additifs à quoi correspond vitamine À 12500 UI....? J'ai pas trouvé.... En attendant des que j'en ai donné à ma chienne réaction vomissements pour 1ree fois... Seconde fois idem... Donc y a un soucis avec ces biscuits que je me vois contrainte de jeter !  Donc désormais je n'achèterai  aucun produits chien chez vous. J'envoie aussi un mot pour l'usine fab : agrobiothers laboratoire (avec le mot BIO dedans incroyable ! Mdr !)",2023-03-05T10:44:27.000Z,,
2,A fuir,1,"J'ai commandé une tv Samsung sur le site Leclerc. Elle était arrivée avec 8 jours de retard. Malheureusement, je devais l'installer qu'après avoir terminé des travaux. Celle-ci ne fonctionne pas. Refus de la changer ou le SAV qui pourtant est de 2 ans.",2023-02-27T17:17:06.000Z,,
3,LE TELEPHON SAMSUNG AVEC LES DEFAUT,1,Le magasin LECLER il vend les téléphones défectueux et il ne fait pas retour. Il ne faut pas acheter les téléphones chez eux,2023-03-02T14:31:50.000Z,,
4,Profiteurs  de guerre,1,"LECLERC  abuse et prennent les Français pour des DUPES, les prix chez LECLERC deviennent exorbitants  exemple LANGRES VESOUL etc  Edouard LECLERC ment   il fait des bénéfices Net très importants sur le dos de  "" ses "" clients STOP a l augmentation abusive  de LECERC",2023-02-23T17:07:20.000Z,,
5,Rien compris,1,"Ma carte de fidélité ne me sert strictement à rien ( 0€ depuis toujours sur ma carte ). Plus de ticket d'achat en caisse mais un ticket pour sortir de la caisse, où se trouve la logique ? Pourquoi faut-il choisir la ville du magasin ?",2023-02-23T13:53:50.000Z,,
6,LECLERC - UP DEJEUNER,1,"⚠️ Information mensongère LECLERC 
ville de Saint Pol de Léon ⛔️
Affichage de la prise des chèques déjeuners UP DEJEUNER !!!
Refus de la carte UP DEJEUNER comme moyen de paiement 🚫
Mauvaise foi des équipes de caisse et de la caisse centrale ⚠️ qui vous mentent pendant des mois en vous disant que c’est votre carte qui pose problème ! Alors qu’ils n’ont pas validé les protocoles de paiement UP DEJEUNER sur leurs terminaux de paiement électronique !",2023-02-18T14:58:27.000Z,,
7,Très mauvaise expérience d'achat,1,"Très mauvaise expérience d'achat chez Leclerc pour un ordinateur. Le service client est de mauvaise foi, en aucun cas arrangeant ni compatisant, aucune excuses alors que les problèmes venant d'eux ce sont enchaînés... Nous sommes très déçus et ne recommanderons pas chez eux, c'est sûr !! Il faudrait peut-être se remettre en question !!",2023-02-18T12:22:41.000Z,,
8,A fuir !!!,1,"Dommage de ne pas pouvoir mettre 0 étoile ! iPhone 13 commandé le 2/02 et devant être livré le 6/02. La commande est partie mais visiblement le colis est perdu. Après de nombreux mails et appels, on nous demande d’attendre, d’attendre … Nous sommes le 20 et toujours AUCUNE NOUVELLE ! Ma fille est sans téléphone depuis le 6 et nous sommes dans l’impasse TOTALE ! Aucune réponse sur les délais, impossible de joindre un responsable, impossible d’annuler. Je n’ai jamais vu un service client aussi déplorable. Leclerc se moque et n’a aucun respect pour ses clients. C’est juste scandaleux. Bien entendu le prélèvement a bien été effectué…. Prélèvement effectué - commande non livrée : cela s’appelle de l’escroquerie !",2023-02-20T11:40:52.000Z,,
9,Espace culturel à Niort Mendès France,4,"Espace culturel à Niort Mendès France 

obligé d'acheté un téléphone portable, j'ai été prise en charge gentiment, cordialement avec Jacques ( vendeur sénior) qui m'a bien conseillé et accompagné dans cet achat 

il n'a pas cherché à me vendre un appareil hors de prix , milles merci pour cette attitude",2023-02-15T18:28:49.000Z,,
