,titles,ratings,reviews,dates,replies,reply_dates,combined_reviews,clean_BE,clean_PD,clean_DM,clean_AS,has_respond
0,Non respect de la garantie!,1,"Attention si vous achetez un produit chez Lidl ,s'il ne marche pas alors qu'il est sous garantie ,aucune possibilité d'échange ou de remboursement.j'ai contacte le service après vente de chez Lidl, enregistrement de la demande et depuis aucune nouvelle .
Je n'achèterai plus aucun appareil chez eux car la garantie de 2 ou 3 ans n'est pas respectée .c'est une honte",2023-03-05T17:17:11.000Z,,,"Non respect de la garantie! Attention si vous achetez un produit chez Lidl ,s'il ne marche pas alors qu'il est sous garantie ,aucune possibilité d'échange ou de remboursement.j'ai contacte le service après vente de chez Lidl, enregistrement de la demande et depuis aucune nouvelle .
Je n'achèterai plus aucun appareil chez eux car la garantie de 2 ou 3 ans n'est pas respectée .c'est une honte",0,1,0,1,0
1,Une horreur,1,"Tellement déçu, l horreur je me suis acheté l'aspirateur 3en1 j'arrive à la maison le tester premièrement il ne marche pas, et en plus la brosse est remplie de poils d'animaux. donc une cliente a dû l'acheter faire une retour sans qui sois contrôler. 
Je suis tellement déçu je m'y attendais pas du tout",2023-03-06T01:07:50.000Z,,,"Une horreur Tellement déçu, l horreur je me suis acheté l'aspirateur 3en1 j'arrive à la maison le tester premièrement il ne marche pas, et en plus la brosse est remplie de poils d'animaux. donc une cliente a dû l'acheter faire une retour sans qui sois contrôler. 
Je suis tellement déçu je m'y attendais pas du tout",1,0,0,0,0
2,Quand le matériel de Lidl est féfectueux...c'est Lidl qui y gagne!!!!!,5,"Témoignage:ce matin je fais mes courses au Lidl de Saint-Flour dans ces courses il y avait 10 kiwis à la pièce,2 packs de yaourts crémeux fruits 4 fromages ail et fines herbes cela me donnait droit d'après mon applicaion Lidl+ à une remise de3.44 € sans compterle ""coup de plus"" (montant de mon ticket 45.21€) sauf que le lecteur de Qrcode de Lidl+ ne fonctionnait pas et que j'ai eu...rien du tout!Donc quand leur matériel est défectueux...ils font un super-bénéfice.Quand j'ai dit cela à la caissière elle m'a dit qu'elle n' était pour rien et s'est bien gardée de me dire à qui m'adresser!",2023-03-04T11:47:48.000Z,,,"Quand le matériel de Lidl est féfectueux...c'est Lidl qui y gagne!!!!! Témoignage:ce matin je fais mes courses au Lidl de Saint-Flour dans ces courses il y avait 10 kiwis à la pièce,2 packs de yaourts crémeux fruits 4 fromages ail et fines herbes cela me donnait droit d'après mon applicaion Lidl+ à une remise de3.44 € sans compterle ""coup de plus"" (montant de mon ticket 45.21€) sauf que le lecteur de Qrcode de Lidl+ ne fonctionnait pas et que j'ai eu...rien du tout!Donc quand leur matériel est défectueux...ils font un super-bénéfice.Quand j'ai dit cela à la caissière elle m'a dit qu'elle n' était pour rien et s'est bien gardée de me dire à qui m'adresser!",1,0,0,0,0
3,"Caissier très mal ""léché"".",2,"Caissier très mal ""léché"".
Un prix n'était pas correct en passant en caisse, celui-ci n'a pas voulu le rectifier. 
J'ai pris deux renoncules au prix de 2.39 € l'unité et ce ""monsieur"" m'a passé la deuxième à 3.49 € !!!!
Personnel ""limite"" quant il s'agit d'aller vérifier un prix en rayon. Il ne faut pas déranger ce monsieur !!",2023-03-03T14:15:03.000Z,,,"Caissier très mal ""léché"". Caissier très mal ""léché"".
Un prix n'était pas correct en passant en caisse, celui-ci n'a pas voulu le rectifier. 
J'ai pris deux renoncules au prix de 2.39 € l'unité et ce ""monsieur"" m'a passé la deuxième à 3.49 € !!!!
Personnel ""limite"" quant il s'agit d'aller vérifier un prix en rayon. Il ne faut pas déranger ce monsieur !!",1,0,0,0,0
4,Y en a marre d'être maltraité chez…,1,"Y en a marre d'être maltraité chez Lidl. Aujourd'hui encore (énième fois), je dépose mes articles sur le tapis mais le temps que je dépose tout, la caissière a déjà tout expédié de l'autre côté, et il n'y a plus de place ! Je demande d'arrêter pour les derniers articles. Pas question, elle pousse les articles qui débordent maintenant. Je redemande d'arrêter le temps que je remplisse mes sacs. Elle continue, pourtant je m'active. Je repousse alors les articles vers elle et là, elle est toute surprise et très agacée. Le ton monte. Je suis furieux après elle et furieux d'être furieux. En sortant, je regrette beaucoup de n'avoir pas tout laissé en plan et de n'être pas tout simplement parti. Je serais allé le lendemain faire mes courses ailleurs. La prochaine fois, c'est ce que je ferai. Lidl Plestin les grèves (22).",2023-03-03T22:55:17.000Z,,,"Y en a marre d'être maltraité chez… Y en a marre d'être maltraité chez Lidl. Aujourd'hui encore (énième fois), je dépose mes articles sur le tapis mais le temps que je dépose tout, la caissière a déjà tout expédié de l'autre côté, et il n'y a plus de place ! Je demande d'arrêter pour les derniers articles. Pas question, elle pousse les articles qui débordent maintenant. Je redemande d'arrêter le temps que je remplisse mes sacs. Elle continue, pourtant je m'active. Je repousse alors les articles vers elle et là, elle est toute surprise et très agacée. Le ton monte. Je suis furieux après elle et furieux d'être furieux. En sortant, je regrette beaucoup de n'avoir pas tout laissé en plan et de n'être pas tout simplement parti. Je serais allé le lendemain faire mes courses ailleurs. La prochaine fois, c'est ce que je ferai. Lidl Plestin les grèves (22).",1,0,0,0,0
5,A fuir,1,"A fuir! J’ai trouvé un gros insecte mort dans ma boîte de petits poids. Quand j’ai contacté le service client il m’ont gentiment dit de faire réclamation auprès de la marque. Euhhh, mais c’est la leur ! Bref, produit d’une qualité médiocre et en plus un service après vente incompétent et qui se moque de ses clients. Ja espère que cette plateforme me permettra de joindre une photo d’illustration.",2023-02-27T01:39:16.000Z,,,"A fuir A fuir! J’ai trouvé un gros insecte mort dans ma boîte de petits poids. Quand j’ai contacté le service client il m’ont gentiment dit de faire réclamation auprès de la marque. Euhhh, mais c’est la leur ! Bref, produit d’une qualité médiocre et en plus un service après vente incompétent et qui se moque de ses clients. Ja espère que cette plateforme me permettra de joindre une photo d’illustration.",0,1,0,1,0
6,Moins cher mais origines opaques,3,Lidl est moins cher que tous tes autres à qualité équivalente mais on ne sait pas d'où viennent de nombreux produits qui indiquent seulement l'adresse de l'enseigne. L'origine est donc assez opaque. Par ailleurs l'application Lidl Plus est compliquée à utiliser puisqu'il faut la paramétrer à chaque fois qu'on entre dans un nouveau magasin. Et elle ne fait pas toujours les cadeaux promis. Par exemple le produit de boulangerie offert.,2023-02-27T07:55:44.000Z,,,Moins cher mais origines opaques Lidl est moins cher que tous tes autres à qualité équivalente mais on ne sait pas d'où viennent de nombreux produits qui indiquent seulement l'adresse de l'enseigne. L'origine est donc assez opaque. Par ailleurs l'application Lidl Plus est compliquée à utiliser puisqu'il faut la paramétrer à chaque fois qu'on entre dans un nouveau magasin. Et elle ne fait pas toujours les cadeaux promis. Par exemple le produit de boulangerie offert.,1,0,0,0,0
7,"Pub 8 pavé de saumon 19,90 € le kilo…",2,"Pub 8 pavé de saumon 19,90 € le kilo face à l'emballage 4 pavés magnifiques lorsque l'on déballe des chutes dessous honteux",2023-03-05T20:56:20.000Z,,,"Pub 8 pavé de saumon 19,90 € le kilo… Pub 8 pavé de saumon 19,90 € le kilo face à l'emballage 4 pavés magnifiques lorsque l'on déballe des chutes dessous honteux",1,1,0,0,0
8,Un des dernier rempart aux très grosses…,4,"Un des dernier rempart aux très grosses multinationales comme carrefour, Leclerc, et Auchan. 
Viande escalope de poulet et dinde pas trop chère et bonne . On trouve souvent des choses intéressantes au rayon maraicher, en bout de rayon.
Le fil dentaire 2x80m a moins de 3€, pas chère.
Le rayon boulangerie vend des pains assez bon pour certain mais contrairement à carrefour il ne mettent pas la composition, ce qui veut tout dire. Je pense qu'il vaut mieux savoir ce que l'on mange. Il y a des conservateurs etc mais il faut le mettre.",2023-02-27T22:36:49.000Z,,,"Un des dernier rempart aux très grosses… Un des dernier rempart aux très grosses multinationales comme carrefour, Leclerc, et Auchan. 
Viande escalope de poulet et dinde pas trop chère et bonne . On trouve souvent des choses intéressantes au rayon maraicher, en bout de rayon.
Le fil dentaire 2x80m a moins de 3€, pas chère.
Le rayon boulangerie vend des pains assez bon pour certain mais contrairement à carrefour il ne mettent pas la composition, ce qui veut tout dire. Je pense qu'il vaut mieux savoir ce que l'on mange. Il y a des conservateurs etc mais il faut le mettre.",1,1,0,0,0
9,Au lidl chato9 les Martigues,5,"Au lidl chato9 les Martigues , super toujours rempli et employés très aimables par contre lidl zone la Palun à Marignane c'est très grave que 2 employés (1 jeune et une dame aimable) le reste exécrable dès que l'on pose une question,  réponse agressive et on vous dit ""je suis fatiguée,  je travaille "" , ancienne boulangère, croyez-moi je bous.",2023-02-23T14:56:35.000Z,,,"Au lidl chato9 les Martigues Au lidl chato9 les Martigues , super toujours rempli et employés très aimables par contre lidl zone la Palun à Marignane c'est très grave que 2 employés (1 jeune et une dame aimable) le reste exécrable dès que l'on pose une question,  réponse agressive et on vous dit ""je suis fatiguée,  je travaille "" , ancienne boulangère, croyez-moi je bous.",1,0,0,0,0
10,Lidl c'est fini des arnaqueurs 20…,1,"Lidl c'est fini des arnaqueurs 20 couches culottes pour mon fils taille 5 a 7,65€ alors qu'à Auchan les 40 couches pour 10,50€ il me verrons plus sur plein d article il ont augmenté pour 150€ je fesait 2 semaine maintenant c'est 220€ a fuir Leclerc reste le moins cher",2023-02-24T12:03:53.000Z,,,"Lidl c'est fini des arnaqueurs 20… Lidl c'est fini des arnaqueurs 20 couches culottes pour mon fils taille 5 a 7,65€ alors qu'à Auchan les 40 couches pour 10,50€ il me verrons plus sur plein d article il ont augmenté pour 150€ je fesait 2 semaine maintenant c'est 220€ a fuir Leclerc reste le moins cher",0,1,0,0,0
11,Fidélité contraignante,1,"Cette carte de fidélité est inintéressante au possible. Non seulement les prix ont augmenté de manière disproportionnée, les produits gagnés ne nous intéressent pas et ne sont jamais en magasin. Et il faut les chercher pendant ses courses! Bref! Ça donne envie d’aller ailleurs!",2023-02-23T09:15:14.000Z,,,"Fidélité contraignante Cette carte de fidélité est inintéressante au possible. Non seulement les prix ont augmenté de manière disproportionnée, les produits gagnés ne nous intéressent pas et ne sont jamais en magasin. Et il faut les chercher pendant ses courses! Bref! Ça donne envie d’aller ailleurs!",1,0,0,0,0
