,titles,ratings,reviews,dates,replies,reply_dates,clean_review,combined_reviews
0,Mais ou est ma commande???,1,"Commande N° 609249735,toujours non livrée,passée le 02/02,statut validée et rien ne bouge depuis,pas un mail,rien,j'ai payé plus cher pour avoir cet article le 07/02,et je n'ai rien,pas d'article,même pas un geste commercial pour ce retard,c'est scandaleux quelle enseigne de M*****",2023-02-07T17:39:04.000Z,"Bonjour, nous vous informons que nous avons pris contact avec le service concerné qui nous informe vous avoir transmis un sms ce matin pour vous prévenir qu'il sera livré au plus tard le 10/02.",2023-02-08T09:48:06.000Z,"Commande N° 609249735,toujours non livrée,passée le 02/02,statut validée et rien ne bouge depuis,pas un mail,rien,j'ai payé plus cher pour avoir cet article le 07/02,et je n'ai rien,pas d'article,même pas un geste commercial pour ce retard,c'est scandaleux quelle enseigne de M*****","Mais ou est ma commande??? Commande N° 609249735,toujours non livrée,passée le 02/02,statut validée et rien ne bouge depuis,pas un mail,rien,j'ai payé plus cher pour avoir cet article le 07/02,et je n'ai rien,pas d'article,même pas un geste commercial pour ce retard,c'est scandaleux quelle enseigne de M*****"
1,Cela fait plusieurs semaines même plus…,1,"Magasin de Carrefour Trans en Provence 83
Cela fait plusieurs semaines même plus qu'on se tape des queues pas possible en caisse, et le mercredi journée carte pass 5 caisses ouvertes !!!! Le samedi idem, se magasin se dégrade de plus en plus,sans compter l'état de sa propreté. comment ne pas éviter d'aller chez le concurrent d'à côté.",2023-02-06T14:48:53.000Z,,,"Magasin de Carrefour Trans en Provence 83Cela fait plusieurs semaines même plus qu'on se tape des queues pas possible en caisse, et le mercredi journée carte pass 5 caisses ouvertes !!!! Le samedi idem, se magasin se dégrade de plus en plus,sans compter l'état de sa propreté. comment ne pas éviter d'aller chez le concurrent d'à côté.","Cela fait plusieurs semaines même plus… Magasin de Carrefour Trans en Provence 83Cela fait plusieurs semaines même plus qu'on se tape des queues pas possible en caisse, et le mercredi journée carte pass 5 caisses ouvertes !!!! Le samedi idem, se magasin se dégrade de plus en plus,sans compter l'état de sa propreté. comment ne pas éviter d'aller chez le concurrent d'à côté."
2,Commande Deliveroo annulé !,1,"Commande Deliveroo passé ce jour sans suite car annulé.
Je décide d'appeler pour en savoir plus et on m'indique qu'elle a été annulé car ils sont déborder....
Il aurais fallu le prévoir avant et fermer à la livraison sur Deliveroo avant que je valide ma commande !
J'ai perdu 30 minutes à faire mon panier pour qu'ensuite ma commande soit annulé (après acceptation ""automatique ?"") !

Réponse à votre message : Il s'agit de la commande numéro #4753 du 05/02/2023 à 19h55
Seconde réponse à votre message : Yohan LAFITTE - 0767614472 (commande Deliveroo a un autre NOM)",2023-02-08T10:54:56.000Z,"Bonjour, nous vous remercions pour cette information que nous avons bien transmis au service compétent afin qu'il puisse vous contacter. Bonne journée, L'équipe Carrefour ",2023-02-08T12:59:53.000Z,"Commande Deliveroo passé ce jour sans suite car annulé.Je décide d'appeler pour en savoir plus et on m'indique qu'elle a été annulé car ils sont déborder....Il aurais fallu le prévoir avant et fermer à la livraison sur Deliveroo avant que je valide ma commande !J'ai perdu 30 minutes à faire mon panier pour qu'ensuite ma commande soit annulé (après acceptation ""automatique ?"") !Réponse à votre message : Il s'agit de la commande numéro #4753 du 05/02/2023 à 19h55Seconde réponse à votre message : Yohan LAFITTE - 0767614472 (commande Deliveroo a un autre NOM)","Commande Deliveroo annulé ! Commande Deliveroo passé ce jour sans suite car annulé.Je décide d'appeler pour en savoir plus et on m'indique qu'elle a été annulé car ils sont déborder....Il aurais fallu le prévoir avant et fermer à la livraison sur Deliveroo avant que je valide ma commande !J'ai perdu 30 minutes à faire mon panier pour qu'ensuite ma commande soit annulé (après acceptation ""automatique ?"") !Réponse à votre message : Il s'agit de la commande numéro #4753 du 05/02/2023 à 19h55Seconde réponse à votre message : Yohan LAFITTE - 0767614472 (commande Deliveroo a un autre NOM)"
3,une honte cette société qu'utilise…,1,"une honte cette société qu'utilise Carrefour pour faire livrer les course on me donne un créneau de 15 à 16, vers 17h je me demande ce qu'il fabrique alors sur un chat on me répond que ha oui personne n'a pris ma commande pour 140# de course et au carrefour market - scy chazelles.... OUI PEUT ËTRE ON VOUS LIVRE A 18H30 OU JE NE SAIS PAS .... DES INCAPABLES UNE FOIS PAS DEUX A EVITER LES DEUX ET J ATTENDS........",2023-02-04T18:29:49.000Z,"Bonjour, pourriez-vous nous communiquer votre numéro de commande, s'il vous plaît ? Nous vous remercions par avance et vous souhaitons un excellent dimanche. L'équipe Carrefour",2023-02-05T08:17:54.000Z,"une honte cette société qu'utilise Carrefour pour faire livrer les course on me donne un créneau de 15 à 16, vers 17h je me demande ce qu'il fabrique alors sur un chat on me répond que ha oui personne n'a pris ma commande pour 140# de course et au carrefour market - scy chazelles.... OUI PEUT ËTRE ON VOUS LIVRE A 18H30 OU JE NE SAIS PAS .... DES INCAPABLES UNE FOIS PAS DEUX A EVITER LES DEUX ET J ATTENDS........","une honte cette société qu'utilise… une honte cette société qu'utilise Carrefour pour faire livrer les course on me donne un créneau de 15 à 16, vers 17h je me demande ce qu'il fabrique alors sur un chat on me répond que ha oui personne n'a pris ma commande pour 140# de course et au carrefour market - scy chazelles.... OUI PEUT ËTRE ON VOUS LIVRE A 18H30 OU JE NE SAIS PAS .... DES INCAPABLES UNE FOIS PAS DEUX A EVITER LES DEUX ET J ATTENDS........"
4,Tout se passe bien chez Carrefour City…,1,"Tout se passe bien chez Carrefour City sauf pour les clients:
le prix pack lait de montagne entier 6x1
en 2022 le prix était de 7.05€ puis
8.25€  (le cout de l'énergie je suppose!)
mais ce jour 04/02/2023 on est à 10.08€ pratiquement une augmentation de 50%!
de l'arnaque : Comment la justifiez vous? l'énergie, la guerre et vous osez faire des pubs sur les baisses de prix!
Carrefour City 106 Av. de la Californie, 06200 Nice
le produit: ait de montagne entier 6x1",2023-02-05T11:41:45.000Z,"Bonjour, pouvez-vous nous préciser quel magasin ? Quel produit exactement ?",2023-02-04T16:18:10.000Z,"Tout se passe bien chez Carrefour City sauf pour les clients:le prix pack lait de montagne entier 6x1en 2022 le prix était de 7.05€ puis8.25€  (le cout de l'énergie je suppose!)mais ce jour 04/02/2023 on est à 10.08€ pratiquement une augmentation de 50%!de l'arnaque : Comment la justifiez vous? l'énergie, la guerre et vous osez faire des pubs sur les baisses de prix!Carrefour City 106 Av. de la Californie, 06200 Nicele produit: ait de montagne entier 6x1","Tout se passe bien chez Carrefour City… Tout se passe bien chez Carrefour City sauf pour les clients:le prix pack lait de montagne entier 6x1en 2022 le prix était de 7.05€ puis8.25€  (le cout de l'énergie je suppose!)mais ce jour 04/02/2023 on est à 10.08€ pratiquement une augmentation de 50%!de l'arnaque : Comment la justifiez vous? l'énergie, la guerre et vous osez faire des pubs sur les baisses de prix!Carrefour City 106 Av. de la Californie, 06200 Nicele produit: ait de montagne entier 6x1"
5,achat d'une sonnette sans fil de marque Rhino…,1,"achat d'une sonnette sans filde marque ""Rhino"" sensée avoir une portée de 50 m : résultat à 30m ça ne marche pas, on se rapproche, toujours pas, au final  il faut être à 10 m pour que ça marche ""à chaque coup de sonnette"", bref inutilisable, merci Carrefour, et je renonce même à la ramener
Merci Rhino pour les mensonges et à Carrefour pour contribuer à vendre des produits qui arnaquent les clients",2023-02-01T16:16:57.000Z,"Bonsoir, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour.fr/services/nous-contacter/formulaire afin de vous apporter une réponse circonstanciée. Merci par avance, L'équipe Carrefour",2023-02-01T18:43:10.000Z,"achat d'une sonnette sans filde marque ""Rhino"" sensée avoir une portée de 50 m : résultat à 30m ça ne marche pas, on se rapproche, toujours pas, au final  il faut être à 10 m pour que ça marche ""à chaque coup de sonnette"", bref inutilisable, merci Carrefour, et je renonce même à la ramenerMerci Rhino pour les mensonges et à Carrefour pour contribuer à vendre des produits qui arnaquent les clients","achat d'une sonnette sans fil de marque Rhino… achat d'une sonnette sans filde marque ""Rhino"" sensée avoir une portée de 50 m : résultat à 30m ça ne marche pas, on se rapproche, toujours pas, au final  il faut être à 10 m pour que ça marche ""à chaque coup de sonnette"", bref inutilisable, merci Carrefour, et je renonce même à la ramenerMerci Rhino pour les mensonges et à Carrefour pour contribuer à vendre des produits qui arnaquent les clients"
6,ZERO POINTE,1,"j ai mis une étoile car je ne peux pas mettre zéro
une HONTE !!! j attends ma livraison depuis ce matin 10h, ils me disent ""panne de camion"" et 10h plus tard "" c est à cause de la grève .... "" menteurs, et aucun respect pour les clients. Votre sav est une honte. Avec des prix ne défiant AUCUNE concurrence, vous pourriez au moins assurer ce côté là.",2023-01-31T20:58:34.000Z,"Bonjour, avez-vous été livré ? Si ce n'est pas le cas, nous vous invitons à nous communiquer votre numéro de commande.",2023-02-01T07:22:28.000Z,"j ai mis une étoile car je ne peux pas mettre zéroune HONTE !!! j attends ma livraison depuis ce matin 10h, ils me disent ""panne de camion"" et 10h plus tard "" c est à cause de la grève .... "" menteurs, et aucun respect pour les clients. Votre sav est une honte. Avec des prix ne défiant AUCUNE concurrence, vous pourriez au moins assurer ce côté là.","ZERO POINTE j ai mis une étoile car je ne peux pas mettre zéroune HONTE !!! j attends ma livraison depuis ce matin 10h, ils me disent ""panne de camion"" et 10h plus tard "" c est à cause de la grève .... "" menteurs, et aucun respect pour les clients. Votre sav est une honte. Avec des prix ne défiant AUCUNE concurrence, vous pourriez au moins assurer ce côté là."
7,Non remboursable ????,1,Je peux pas mettre zéro mais sinon j'aurai mis cette note. Depuis décembre j'attends le remboursement d'un ordinateur portable qui n'a jamais été livré. A la place une cafetière. Une semaine pour avoir un bon de retour. Le colis a bien été remis à l'entrepôt et après 10 appels des échanges de mail aujourd'hui on vient de me dire que je ne serai pas remboursée. Je comprends pas la blague. On ne me rembourse pas pour des erreurs d'argent de chez Carrefour. Je ne peux pas travailler de la maison car je n'ai pas d'ordinateur et je peux pas en racheter un car j'ai pas l'argent enfin di il est sur les comptes de carrefour. Je peux porter plainte? Numero de commande 607275144,2023-02-01T23:42:25.000Z,"Bonjour, nous avons relayé votre demande au service compétent qui nous informe vous avoir transmis un mail hier vous indiquant que le remboursement a été effectué. Espérant en votre satisfaction, L'équipe Carrefour",2023-02-03T07:32:34.000Z,Je peux pas mettre zéro mais sinon j'aurai mis cette note. Depuis décembre j'attends le remboursement d'un ordinateur portable qui n'a jamais été livré. A la place une cafetière. Une semaine pour avoir un bon de retour. Le colis a bien été remis à l'entrepôt et après 10 appels des échanges de mail aujourd'hui on vient de me dire que je ne serai pas remboursée. Je comprends pas la blague. On ne me rembourse pas pour des erreurs d'argent de chez Carrefour. Je ne peux pas travailler de la maison car je n'ai pas d'ordinateur et je peux pas en racheter un car j'ai pas l'argent enfin di il est sur les comptes de carrefour. Je peux porter plainte? Numero de commande 607275144,Non remboursable ???? Je peux pas mettre zéro mais sinon j'aurai mis cette note. Depuis décembre j'attends le remboursement d'un ordinateur portable qui n'a jamais été livré. A la place une cafetière. Une semaine pour avoir un bon de retour. Le colis a bien été remis à l'entrepôt et après 10 appels des échanges de mail aujourd'hui on vient de me dire que je ne serai pas remboursée. Je comprends pas la blague. On ne me rembourse pas pour des erreurs d'argent de chez Carrefour. Je ne peux pas travailler de la maison car je n'ai pas d'ordinateur et je peux pas en racheter un car j'ai pas l'argent enfin di il est sur les comptes de carrefour. Je peux porter plainte? Numero de commande 607275144
8,Carrefour BAB2  d anglet 64600 AU…,5,"Carrefour BAB2  d anglet 64600 AU Pyrénées Atlantique 
Pour répondre à votre précédent message",2023-02-08T20:35:39.000Z,,,Carrefour BAB2  d anglet 64600 AU Pyrénées Atlantique Pour répondre à votre précédent message,Carrefour BAB2  d anglet 64600 AU… Carrefour BAB2  d anglet 64600 AU Pyrénées Atlantique Pour répondre à votre précédent message
9,Inadmissible…,1,"Carrefour market Bosc le hard où se trouve les promotions dj catalogue de ce jour! Il manque encore des produits ce n est pas la 1ere fois c est de pire en pire!
Rue des forges 76850  Bosc le Hard ( pas de lien direct pour repondre)",2023-01-31T18:24:39.000Z,"Bonjour, quels produits sont manquants ? En avez-vous fait la demande à l'accueil de votre magasin ?",2023-02-01T07:23:46.000Z,Carrefour market Bosc le hard où se trouve les promotions dj catalogue de ce jour! Il manque encore des produits ce n est pas la 1ere fois c est de pire en pire!Rue des forges 76850  Bosc le Hard ( pas de lien direct pour repondre),Inadmissible… Carrefour market Bosc le hard où se trouve les promotions dj catalogue de ce jour! Il manque encore des produits ce n est pas la 1ere fois c est de pire en pire!Rue des forges 76850  Bosc le Hard ( pas de lien direct pour repondre)
